review_body,review_date
"Buffet spread dinner experience at infinity crown plaza was average Even though there’s quite wide choice of food, starters could improve along with soft drink options Probably it’s due to lack of space but a strange arrangement of salad and pudding in between sitting place was weird arrangement Good atmosphere, friendly staff, food quality good","May 7, 2019"
"Exceptional personalized service is given by Manager Mr Ratan always.  I traveled all over world, this is one of the place where you feel home away from home.Wholesome Breakfast (rather call it brunch) one must not miss.","May 6, 2019"
"Frequently stay at the hotel due to work requirements Executive chef TARUN & Chef Khan , along with the duty incharge SUMIT at the Infinity restaurant always take care of our late hours food requirementsExceptional & personalised service ","May 5, 2019"
"Stayed here for 2 nights with my wife and kid. First thing that caught my attention in this hotel was the service, which was outstanding and everyone right from the security gate to front office and restaurant was so friendly and caring. Lovely breakfast buffet with wide variety of Indian, Continental and Oriental spread. Only let down was that their pool was under maintenance which was not updated in any of the booking sites or even in their website. I have seen many hotels doing it and when you pay a premium you expect it to be flawless. Apart from that, we really enjoyed our stay! Will definitely be back. Thanks to the entire team.","May 4, 2019"
"As a crystal club member, I stayed at Crowne plaza, Mayur Vihar, Delhi for one night with my family. We had booked two rooms. While one room was complimentary, the other was at a rate of 3999 plus taxes. Mr Gaurav from the management team was kind enough to arrange for the room reservations in advance.The check in was quick and smooth. The lobby are is spacious and they have a separate lounge bar on the ground floor. We were given two adjoining rooms on the 10th floor. While our preference was Akshardham facing rooms, we were given Noida city facing rooms and the view from these rooms was also not bad. The evening/ night view is particularly good with the lights on in the city buildings. The rooms are spacious and well appointed. Each room had a king size bed, a large LED TV, a study table, a couch and centre table. The windows were large with remote controlled curtains. The washrooms came with a full size tub, a separate shower area and were fully stocked with towels and toiletries. Each room also had a mini bar, a tea /coffee maker, an ironing table and a safe to keep your valuables.My daughters went for a quick dip in the pool in the evening. The health club and spa are also on the same floor. Their room service was quick. The spread for breakfast was quite good and we enjoyed our Sunday breakfast at leisure.The staff at the hotel and in the restaurant was very courteous. We enjoyed our stay at the hotel thoroughly and would love to come back again.","April 30, 2019"
It was first time stayed with Crowne Plaza Mayur Vihar and it was a great experience to stay with Crowne Plaza Mayur Vihar. Food was awesome and staff is trained and duly dedicated towards their job. Overall great experience.,"April 29, 2019"
Crown Plaza is a wonderful Host. It was a great experience for my family. We were all tension free throughout the event. Crown Plaza Mayur Vihar has delivered what they promised initially.Nishant has been great coordinator and was very helpful whenever we were hassled or had any query. We wish him all the best for his future.Overall a great experience. thank you Team Crown Plaza Mayur Vihar.,"April 29, 2019"
"This place is almost amazing. Step inside and you'll feel like you are in any cosmopolitan city, with it's beautiful decor, polished service, and well executed menu. Food was fabulous. Just awesome.. Can't explain how happy I am. Especially thanks to Mr.Dinesh.","April 28, 2019"
"Mr.Dinesh always gives good smile and memories about India. India itself is not easy to enjoy , but for the people, bohta achahae. Ps, find Mr.Dinesh for any help.Beatiful Paneer:)Other food like pizza is authentic. Noodles are good for Asian.","April 28, 2019"
"Everything about the stay was nice - from the checking process - Akash was really kind and helpful, to the bell boy - sardarji, i dont remember the name though - he was so professional and made me think if I am at a luxury 5 star spending 4 times the amount - the likes of a taj lake palace or an amar vilas etc. The overall experience at the property was good - the room/suite was rather spacious and they greeted and spoke well- also offered to give a show around (Akash). Although I used car but should someone want to use metro, its equidistant from two metro stations. The view was just OK but Akash took care of the minutest detail - from ensuring I get a good view to a room on a non smoking floor etc. The morning breakfast was rather nice - not very elaborate but the service was outstanding - as I said, it gave me a feel of a luxury 5 star in a business 5 star property. The morning stewards to servers were all very throughtful in guessing my needs and serving me much before what I would need, they were observant. The checkout was great too. Just one thing - I had a chat with Shagun - their marketing manager, I guess. All I wanted was a show around, which Akash had anyway offered. I wanted to cover the good aspects about the property in a video that I inteded to post on my youtube channel, but despite having a conversation, they never returned. I also did not give much heed deciphering their message that they are not interested in the proposition. Anyway, albeit this minor distaste, everything else was fabulous. I will return.Also, did i mention, their mattresses are outstanding. Not to mention, the housekeeping was impeccable. Near perfect stay.","April 26, 2019"
"We had our wedding in crowne plaza, it was great, th food quality the interior the management of hotel staff.. All were very good. All our guests liked the hotel and food taste. Planning to do our next party in crowne plaza only. Loved it.. thanks to all staff- chef bhakta, chef sumit, praveen shrewat(security), dighamber(banquet manager), chef shakti(head chef), and specially mr nishant for organising all for us.","April 23, 2019"
I enjoyed a lot. Gym trainer (Bhsgwandas) was very helpful. I liked the service. Swimming pool is good. Room is in perfect condition. Staff are very proactive to provide the best services. Altogether it's a best hotel.,"April 14, 2019"
"I m so happy to stay here .. peaceful place awesome food & Dinesh is the most amazing restaurant guy, who always helped me to choose recipes & take care for my lunch . God bless him . I hope in my next tour I will stay here . Love u crown plaza team guys . ","April 14, 2019"
A fantastic hotel with fantastic friendly staff especially Dinesh who became more of a friend than a waiter to us. Not only did he recognise us following a fortnight of touring but when we returned he could even tell us our preferences in drinks. An all out nice man. In fact a gentleman in the truest sense of the word. Thank you Dinesh for making our stay so enjoyable.,"April 13, 2019"
"Had a amazing visit. Staff very helpful nothing too much trouble. Dinesh is the nicest staff i have ever met, he was so pleasant and helpful. Would stay here again in this amazing city. The rooms are beautiful and have everything you need ","April 13, 2019"
